product_id,product_display_name,garment_type,role,side,subrole,piece_id,source_archive,source_relative_path,canvas_w,canvas_h,bbox_x,bbox_y,bbox_w,bbox_h,analysis_scale,hero_score,can_hold_face,seam_risk,is_overlay,must_match_underlay,guide_preview_jpg
adult_jumpsuit_design_template,Adult-Jumpsuit-Design-Template,adult_jumpsuit,back_panel,back,component_1,adult_jumpsuit_design_template__back_side__shape_01,Adult-Jumpsuit-Design-Template (1)(2).zip,Back side.png,10984,10984,5529,281,2600,10191,0.0819373634377276,72,True,medium,False,False,guide_previews/adult_jumpsuit_design_template__back_side__shape_01_guide_preview.jpg
adult_jumpsuit_design_template,Adult-Jumpsuit-Design-Template,adult_jumpsuit,back_panel,back,component_2,adult_jumpsuit_design_template__back_side__shape_02,Adult-Jumpsuit-Design-Template (1)(2).zip,Back side.png,10984,10984,2844,281,2612,9007,0.0819373634377276,72,True,medium,False,False,guide_previews/adult_jumpsuit_design_template__back_side__shape_02_guide_preview.jpg
adult_jumpsuit_design_template,Adult-Jumpsuit-Design-Template,adult_jumpsuit,back_panel,back,component_3,adult_jumpsuit_design_template__back_side__shape_03,Adult-Jumpsuit-Design-Template (1)(2).zip,Back side.png,10984,10984,2990,9288,1745,1416,0.0819373634377276,10,False,medium,False,False,guide_previews/adult_jumpsuit_design_template__back_side__shape_03_guide_preview.jpg
adult_jumpsuit_design_template,Adult-Jumpsuit-Design-Template,adult_jumpsuit,back_panel,back,component_4,adult_jumpsuit_design_template__back_side__shape_04,Adult-Jumpsuit-Design-Template (1)(2).zip,Back side.png,10984,10984,6249,9349,1745,1355,0.0819373634377276,10,False,medium,False,False,guide_previews/adult_jumpsuit_design_template__back_side__shape_04_guide_preview.jpg
adult_jumpsuit_design_template,Adult-Jumpsuit-Design-Template,adult_jumpsuit,front_panel,front,component_1,adult_jumpsuit_design_template__front_side__shape_01,Adult-Jumpsuit-Design-Template (1)(2).zip,Front side.png,10984,10984,5590,256,2209,10215,0.0819373634377276,90,True,medium,False,False,guide_previews/adult_jumpsuit_design_template__front_side__shape_01_guide_preview.jpg
adult_jumpsuit_design_template,Adult-Jumpsuit-Design-Template,adult_jumpsuit,front_panel,front,component_2,adult_jumpsuit_design_template__front_side__shape_02,Adult-Jumpsuit-Design-Template (1)(2).zip,Front side.png,10984,10984,3185,268,2209,10215,0.0819373634377276,90,True,medium,False,False,guide_previews/adult_jumpsuit_design_template__front_side__shape_02_guide_preview.jpg
adult_jumpsuit_design_template,Adult-Jumpsuit-Design-Template,adult_jumpsuit,hood,unknown,component_1,adult_jumpsuit_design_template__hood__shape_01,Adult-Jumpsuit-Design-Template (1)(2).zip,Hood.png,7087,7087,1339,614,1992,2795,0.12699308593198816,45,False,medium_high,False,False,guide_previews/adult_jumpsuit_design_template__hood__shape_01_guide_preview.jpg
adult_jumpsuit_design_template,Adult-Jumpsuit-Design-Template,adult_jumpsuit,hood,unknown,component_2,adult_jumpsuit_design_template__hood__shape_02,Adult-Jumpsuit-Design-Template (1)(2).zip,Hood.png,7087,7087,3756,614,1992,2795,0.12699308593198816,45,False,medium_high,False,False,guide_previews/adult_jumpsuit_design_template__hood__shape_02_guide_preview.jpg
adult_jumpsuit_design_template,Adult-Jumpsuit-Design-Template,adult_jumpsuit,hood,unknown,component_3,adult_jumpsuit_design_template__hood__shape_03,Adult-Jumpsuit-Design-Template (1)(2).zip,Hood.png,7087,7087,1591,3685,1740,2677,0.12699308593198816,45,False,medium_high,False,False,guide_previews/adult_jumpsuit_design_template__hood__shape_03_guide_preview.jpg
adult_jumpsuit_design_template,Adult-Jumpsuit-Design-Template,adult_jumpsuit,hood,unknown,component_4,adult_jumpsuit_design_template__hood__shape_04,Adult-Jumpsuit-Design-Template (1)(2).zip,Hood.png,7087,7087,3756,3685,1732,2677,0.12699308593198816,45,False,medium_high,False,False,guide_previews/adult_jumpsuit_design_template__hood__shape_04_guide_preview.jpg
